Name,Years_Active,Debut_Year,Last_Year,Positions,Bats,Throws,Height,Weight,WAR,AB,H,HR,BA,R,RBI,SB,OBP,SLG,OPS,OPS+
Henry Aaron,23,1954,1976, Rightfielder and First Baseman,Right,Right,183,81,143.1,12364,3771,755,0.305,2174,2297,240,0.374,0.555,0.928,155
Dick Allen,15,1963,1977," First Baseman, Third Baseman and Leftfielder",Right,Right,180,84,58.7,6332,1848,351,0.292,1099,1119,133,0.378,0.534,0.912,156
Roberto Alomar,17,1988,2004, Second Baseman,Both,Right,183,83,67.0,9073,2724,210,0.3,1508,1134,474,0.371,0.443,0.814,116
Walter Alston,1,1936,1936, First Baseman,Right,Right,188,88,0.0,1,0,0,0.0,0,0,0,0.0,0.0,0.0,-100
Sparky Anderson,1,1959,1959, Second Baseman,Right,Right,175,77,-1.2,477,104,0,0.218,42,34,6,0.282,0.249,0.531,43
Cap Anson,27,1871,1897," First Baseman, Third Baseman and Catcher",Right,Right,183,102,94.3,10281,3435,97,0.334,1999,2075,277,0.394,0.447,0.841,142
Luis Aparicio,18,1956,1973, Shortstop,Right,Right,175,72,55.9,10230,2677,83,0.262,1335,791,506,0.311,0.343,0.653,82
Luke Appling,21,1930,1950, Shortstop and Third Baseman,Right,Right,178,83,77.4,8856,2749,45,0.31,1319,1116,179,0.399,0.398,0.798,113
Richie Ashburn,15,1948,1962, Centerfielder,Left,Right,178,77,64.2,8365,2574,29,0.308,1322,586,234,0.396,0.382,0.778,111
Earl Averill,13,1929,1941, Centerfielder,Left,Right,175,78,51.6,6353,2019,238,0.318,1224,1164,70,0.395,0.534,0.928,133
Jeff Bagwell,15,1991,2005, First Baseman,Right,Right,183,88,79.9,7797,2314,449,0.297,1517,1529,202,0.408,0.54,0.948,149
Harold Baines,22,1980,2001, Designated Hitter and Rightfielder,Left,Left,188,79,38.8,9908,2866,384,0.289,1299,1628,34,0.356,0.465,0.82,121
Home Run Baker,15,1908,1922, Third Baseman,Left,Right,180,78,62.8,5984,1838,96,0.307,887,991,235,0.363,0.442,0.805,135
Dave Bancroft,16,1915,1930, Shortstop,Both,Right,175,72,50.0,7182,2004,32,0.279,1048,591,145,0.355,0.358,0.714,98
Ernie Banks,19,1953,1971, First Baseman and Shortstop,Right,Right,185,81,67.7,9421,2583,512,0.274,1305,1636,50,0.33,0.5,0.83,122
Jake Beckley,20,1888,1907, First Baseman,Left,Left,178,90,61.2,9551,2938,87,0.308,1603,1581,315,0.361,0.436,0.797,125
Adrian Beltré,21,1998,2018, Third Baseman,Right,Right,180,99,93.5,11068,3166,477,0.286,1524,1707,121,0.339,0.48,0.819,116
Johnny Bench,17,1967,1983," Catcher, Third Baseman and First Baseman",Right,Right,185,89,75.1,7658,2048,389,0.267,1091,1376,68,0.342,0.476,0.817,126
Yogi Berra,22,1944,1965, Catcher and Outfielder,Left,Right,170,83,59.5,7555,2150,358,0.285,1175,1430,30,0.348,0.482,0.83,125
Craig Biggio,20,1988,2007," Second Baseman, Catcher and Centerfielder",Right,Right,180,83,65.5,10876,3060,291,0.281,1844,1175,414,0.363,0.433,0.796,112
Wade Boggs,18,1982,1999, Third Baseman,Left,Right,188,86,91.4,9180,3010,118,0.328,1513,1014,24,0.415,0.443,0.858,131
Jim Bottomley,16,1922,1937, First Baseman,Left,Left,183,81,35.8,7471,2313,219,0.31,1177,1422,58,0.369,0.5,0.869,125
Lou Boudreau,15,1938,1952, Shortstop,Right,Right,180,83,63.2,6029,1779,68,0.295,861,789,51,0.38,0.415,0.795,120
Roger Bresnahan,19,1897,1915, Catcher and Centerfielder,Right,Right,175,90,42.9,4481,1252,26,0.279,682,530,212,0.386,0.377,0.764,126
George Brett,21,1973,1993, Third Baseman and First Baseman,Left,Right,183,83,88.6,10349,3154,317,0.305,1583,1596,201,0.369,0.487,0.857,135
Lou Brock,19,1961,1979, Leftfielder,Left,Left,180,77,45.3,10332,3023,149,0.293,1610,900,938,0.343,0.41,0.753,109
Dan Brouthers,26,1879,1904, First Baseman,Left,Right,188,93,78.7,6726,2303,107,0.342,1529,1301,257,0.423,0.52,0.943,171
Willard Brown,12,1937,1948, Outfielder and Shortstop,Right,Right,180,90,20.2,1652,580,54,0.351,332,391,80,0.398,0.579,0.977,178
Jesse Burkett,16,1890,1905, Leftfielder,Left,Left,173,70,59.7,8426,2850,75,0.338,1720,952,389,0.415,0.446,0.861,140
Roy Campanella,21,1937,1957, Catcher,Right,Right,175,86,41.8,5030,1422,260,0.283,786,1019,38,0.363,0.496,0.859,125
Rod Carew,19,1967,1985, First Baseman and Second Baseman,Left,Right,183,77,81.2,9315,3053,92,0.328,1424,1015,353,0.393,0.429,0.822,131
Max Carey,20,1910,1929, Outfielder,Both,Right,180,77,55.6,9363,2665,70,0.285,1545,802,738,0.361,0.386,0.747,108
Gary Carter,19,1974,1992, Catcher and Rightfielder,Right,Right,188,92,70.2,7971,2092,324,0.262,1025,1225,39,0.335,0.439,0.773,115
Orlando Cepeda,17,1958,1974, First Baseman and Leftfielder,Right,Right,188,95,50.1,7927,2351,379,0.297,1131,1365,142,0.35,0.499,0.849,133
Frank Chance,17,1898,1914," First Baseman, Catcher and Rightfielder",Right,Right,183,86,46.0,4299,1274,20,0.296,798,596,403,0.394,0.394,0.788,135
Oscar Charleston,22,1920,1941, Centerfielder and First Baseman,Left,Left,173,83,48.1,3317,1210,143,0.365,854,853,210,0.449,0.615,1.064,184
Fred Clarke,22,1894,1915, Leftfielder,Left,Right,178,74,68.0,8584,2678,67,0.312,1622,1015,509,0.386,0.429,0.814,133
Roberto Clemente,18,1955,1972, Rightfielder,Right,Right,180,79,94.9,9454,3000,240,0.317,1416,1305,83,0.359,0.475,0.834,130
Ty Cobb,24,1905,1928, Centerfielder,Left,Right,185,79,151.5,11440,4189,117,0.366,2245,1944,897,0.433,0.512,0.944,168
